gene,custom,cosmic,clinvar-all-cancer,FM-combined,ucsf500v2,civic,broad-target,msk-impact,umich-mioncoseq
HOXC13,,X,,X,,,,,
HOXD11,,X,,X,,,,,
HOXD13,,X,,X,,,,,
HOXD4,,,X,,,,,,
HPGD,,,X,,,,,,
HPS3,,,X,,,,,,
HRAS,,X,X,X,X,X,X,X,X
HSD3B1,,,,X,,,,,
HSP90AA1,,X,,X,,,,,X
HSP90AB1,,X,,X,X,,,,
HSPA2,,,,,X,,,,
HSPA5,,,,,X,X,,,
HSPB1,,,,,,X,,,
HSPH1,,,,,,X,,,
HTR2C,,,X,,,,,,
HTR5A,,,X,,,,,,
HTRA2,,,X,,,,,,
IBTK,,,X,,,,,,
ICAM1,,,X,,,,,,
ICOSLG,,,,,,,,X,
ID3,,,,X,X,,,,
IDH1,,X,X,X,X,X,X,X,X
IDH2,,X,X,X,X,X,X,X,X
IFIH1,,,X,,,,,,
IFNAR2,,,X,,,,,,
IFNGR1,,,X,,,,,X,
IFT43,,,X,,,,,,
IGF1,,,,,,,,X,
IGF1R,,,,X,X,X,X,X,
IGF2,,,,X,X,X,,X,
IGF2R,,,X,,X,,,,
IGH,,X,,X,,,,,
IGK,,X,,X,,,,,
IGL,,X,,X,,,,,
IKBKB,,X,,,,,,,
IKBKE,,,,X,X,,,X,X
IKZF1,,X,,X,X,X,,X,
IKZF2,,,,,X,,,,
IKZF3,,,,,X,,,,
IL10,,,,,,,,X,
IL10RB,,,X,,,,,,
IL13,,,X,,,,,,
IL2,,X,,,,,,,
IL21R,,X,,X,,,,,
IL2RB,,,,,X,,,,
IL3,,,,X,,,,,
IL33,,,X,,,,,,
IL6ST,,X,,,,,,,
IL7R,,X,X,X,X,,,X,
IMPG2,,,X,,,,,,
ING1,,,X,,,,,,
ING4,,,X,,,,,,
INHBA,,,,X,X,,,,
INMT,,,X,,,,,,
INPP4A,,,,,,,,X,
INPP4B,,,,X,X,,,X,
INPP5D,,,,X,,,,,
INSR,,,,,,,,X,
INTS3,,,X,,,,,,
INTS8,,,X,,,,,,
IPMK,,,,,X,,,,
IRF1,,,X,X,,,,,
IRF2,,,,X,,,,,
IRF4,,X,,X,X,,,X,
IRF8,,,,X,,,,,
IRGQ,,,X,,,,,,
IRS1,,,,,,,,X,
IRS2,,,,X,X,,,X,
ITGAD,,,X,,,,,,
ITGB6,,,X,,,,,,
ITIH5,,,X,,,,,,
ITK,,X,X,X,,,,,
ITPRIPL1,,,X,,,,,,
JAGN1,,,X,,,,,,
JAK1,,X,X,X,X,X,,X,
JAK2,,X,X,X,X,X,X,X,X
JAK3,,X,X,X,X,X,X,X,X
JARID2,,,,X,,,,,
JAZF1,,X,,X,X,,,,
JUN,,X,,X,,X,,X,
KARS,,,X,,,,,,
KAT5,,,X,,,,,,
KAT6A,,X,,X,X,,,,
KAT6B,,X,,,,,,,
KAT7,,,X,,,,,,
KCNF1,,,X,,,,,,
KCNJ1,,,X,,,,,,
KCNJ4,,,X,,,,,,
KCNJ5,,X,,,,,,,
KCNN3,,,X,,,,,,
KCNQ1OT1,,,X,,,,,,
KCNQ3,,,X,,,,,,
KCNQ5,,,X,,,,,,
KCNT1,,,X,,,,,,
KDM2B,,,,X,,,,,
KDM3A,,,X,,,,,,
KDM4C,,,,X,,,,,
KDM4E,,,X,,,,,,
KDM5A,,X,,X,X,,,X,
KDM5C,,X,,X,X,,,X,
KDM6A,,X,X,X,X,,,X,
KDR,,X,X,X,X,X,X,X,
KDSR,,X,,X,,,,,
KEAP1,,X,,X,X,,,X,
KEL,,,,X,,,,,
KHDC3L,,,X,,,,,,
KIAA0100,,,X,,,,,,
KIAA1524,,,,,,X,,,
KIAA1549,,X,,,,,,,
KIAA1598,,X,,,,,,,
KIAA1755,,,X,,,,,,
KIF11,,,X,,,,,,
KIF12,,,X,,,,,,
KIF16B,,,X,,,,,,
